ID,loan_purpose,borrower_employment_length,borrower_age,borrower_home_ownership,borrower_income,loan_rating,loan_amount,loan_rate,loan_status,loan_to_income_percent,cb_person_default_on_file,cb_person_cred_hist_length,rem_term
1,PERSONAL,123,22,RENT,59000,D,35000,16.02,1,0.59,Y,3,60
2,EDUCATION,5,21,OWN,9600,B,1000,11.14,0,0.1,N,2,60
3,MEDICAL,1,25,MORTGAGE,9600,C,5500,12.87,1,0.57,N,3,36
4,MEDICAL,4,23,RENT,65500,C,35000,15.23,1,0.53,N,2,36
5,MEDICAL,8,24,RENT,54400,C,35000,14.27,1,0.55,Y,4,60
6,VENTURE,2,21,OWN,9900,A,2500,7.14,1,0.25,N,2,36
7,EDUCATION,8,26,RENT,77100,B,35000,12.42,1,0.45,N,3,36
8,MEDICAL,5,24,RENT,78956,B,35000,11.11,1,0.44,N,4,60
9,PERSONAL,8,24,RENT,83000,A,35000,8.9,1,0.42,N,2,36
10,VENTURE,6,21,OWN,10000,D,1600,14.74,1,0.16,N,3,60
11,VENTURE,6,22,RENT,85000,B,35000,10.37,1,0.41,N,4,60
12,HOMEIMPROVEMENT,2,21,OWN,10000,A,4500,8.63,1,0.45,N,2,36
13,VENTURE,2,23,RENT,95000,A,35000,7.9,1,0.37,N,2,36
14,EDUCATION,4,26,RENT,108160,E,35000,18.39,1,0.32,N,4,60
15,EDUCATION,2,23,RENT,115000,A,35000,7.9,0,0.3,N,4,36
16,DEBTCONSOLIDATION,7,23,MORTGAGE,500000,B,30000,10.65,0,0.06,N,3,36
17,EDUCATION,0,23,RENT,120000,A,35000,7.9,0,0.29,N,4,36
18,MEDICAL,7,23,RENT,92111,F,35000,20.25,1,0.32,N,4,36
19,DEBTCONSOLIDATION,8,23,RENT,113000,D,35000,18.25,1,0.31,N,4,60
20,EDUCATION,8,24,MORTGAGE,10800,B,1750,10.99,1,0.16,N,2,36
21,VENTURE,2,25,RENT,162500,A,35000,7.49,0,0.22,N,4,36
22,PERSONAL,9,25,RENT,137000,E,34800,16.77,0,0.25,Y,2,36
23,EDUCATION,4,22,RENT,65000,D,34000,17.58,1,0.52,N,4,36
24,PERSONAL,0,24,OWN,10980,A,1500,7.29,0,0.14,N,3,60
25,PERSONAL,3,22,RENT,80000,D,33950,14.54,1,0.42,Y,4,36
26,HOMEIMPROVEMENT,8,24,RENT,67746,C,33000,12.68,1,0.49,N,3,60
27,VENTURE,3,21,MORTGAGE,11000,E,4575,17.74,1,0.42,Y,3,36
28,PERSONAL,0,23,OWN,11000,A,1400,9.32,0,0.13,N,3,36
29,HOMEIMPROVEMENT,6,24,RENT,65000,B,32500,9.99,1,0.5,N,3,36
30,EDUCATION,5,21,OTHER,11389,C,4000,12.84,1,0.35,Y,2,36
31,MEDICAL,5,21,OWN,11520,B,2000,11.12,1,0.17,N,3,36
32,VENTURE,2,25,RENT,120000,A,32000,6.62,0,0.27,N,2,60
33,HOMEIMPROVEMENT,7,26,RENT,95000,C,31050,14.17,1,0.33,Y,3,36
34,DEBTCONSOLIDATION,2,25,RENT,306000,C,24250,13.85,0,0.08,N,3,36
35,MEDICAL,10,26,MORTGAGE,300000,C,7800,13.49,0,0.03,N,4,60
36,EDUCATION,5,21,OWN,12000,A,2500,7.51,1,0.21,N,4,60
37,EDUCATION,1,22,RENT,48000,E,30000,18.39,1,0.63,N,2,60
38,DEBTCONSOLIDATION,8,24,RENT,64000,D,30000,14.54,1,0.47,Y,3,36
39,HOMEIMPROVEMENT,4,25,RENT,75000,D,30000,16.89,1,0.4,Y,4,36
40,DEBTCONSOLIDATION,3,23,RENT,71500,D,30000,16.02,1,0.42,N,4,60
41,MEDICAL,6,26,RENT,62050,E,30000,17.99,1,0.41,N,2,60
42,VENTURE,4,24,OWN,12000,B,2500,12.69,1,0.21,N,3,36
43,VENTURE,10,26,MORTGAGE,300000,A,20000,7.88,0,0.07,N,4,36
44,EDUCATION,1,23,OWN,300000,F,24250,19.41,0,0.08,Y,2,60
45,HOMEIMPROVEMENT,9,26,OWN,300000,B,10000,10.38,0,0.03,N,4,60
46,EDUCATION,0,26,MORTGAGE,300000,D,25000,15.33,0,0.08,N,3,36
47,HOMEIMPROVEMENT,9,25,MORTGAGE,300000,E,18000,16.45,0,0.06,N,3,60
48,PERSONAL,8,26,RENT,80690,A,30000,7.49,1,0.37,N,3,60
49,MEDICAL,4,22,RENT,66300,B,30000,12.69,1,0.38,N,3,60
